Designator,Mid X,Mid Y,Rotation,Layer
BT1,185.015,-92.0,0.0,bottom
D1,194.995,-79.0,0.0,top
D2,175.23,-79.0,0.0,top
R1,174.0,-69.0,0.0,top
R2,197.0,-69.5,180.0,top
